	had_prior_chemotherapy	bmi_scaled	is_male	age_decades:history_smoking
ARID1A		1.1189408781693433	1.2316431139746458	0.18830738795783636
CDKN1A		1.5546808509666454	1.5707270643981133	0.18931633538720294
CREBBP	0.8876263793452815	0.5937562500458519	-0.0017815299504198023	0.14320210257885968
EP300	0.8268897968799963	0.8709360116683345	0.12601111226108913	0.15256108221787226
FOXQ1		1.8289779195063092	1.2964092442459398	0.33008204802988955
KMT2C	0.413491033575174	0.4666492987832957	0.17955022310098684	0.06112017649611935
KMT2D		0.7619222017720624	0.08946167465277988	0.2514711107718693
NOTCH2	0.6903508672401253	0.2774995533879994	0.08816973515020785	0.11545201242091822
RB1	0.32521929788212417	0.24349894461670898	0.05506030970844247	0.04311423190902753
RBM10		2.2820879634830913	4.141429341980327	0.5731311671180102
STAG2		1.4489479990039629	1.451437938327881	0.2962321624300851
TERTpromoter		84.8408240036062	6.964637907233179	13.740182745129646
TP53	1.285913621173045	1.3649968814025866	0.4461956833835507	0.2245370625643796
total		0.6215968706893599	0.23094117481361515	0.17422504959559373
