	had_prior_chemotherapy	history_drinking	age_decades:history_smoking	bmi_scaled	is_male
ARID1A	0.29765087776120225	0.22857401812669337	0.030616673378095403	0.6458990834510078	0.038864377278691284
CDKN1A	0.6458990834510078	0.5857662775418789	0.09760046716104391	0.9355861180396405	0.015371475750052871
CREBBP	0.015371475750052871	0.7463769445782755	0.038710715495878296	0.7129611038846301	0.7041851124550099
EP300	0.015796910686466843	0.9355861180396405	0.015371475750052871	0.9823751570508166	0.9823751570508166
FOXQ1	0.9823751570508166	0.9823751570508166	0.015371475750052871	0.7638644361313555	0.18360049246331556
KDM6A	0.7692112129439752	0.9355861180396405	0.34520694212426933	0.9823751570508166	0.5857662775418789
KMT2C	0.015371475750052871	0.9823751570508166	0.030427546584516726	0.9823751570508166	0.7606084025801633
KMT2D	0.7463769445782755	0.8712466938683054	0.015371475750052871	0.4924529610532651	0.9355861180396405
NOTCH2	0.015371475750052871	0.6212119752206063	0.015371475750052871	0.4474364058426297	0.9823751570508166
RB1	0.0033064513707121304	0.9823751570508166	0.030616673378095403	0.7570213636768076	0.9663878578542767
RBM10	0.9823751570508166	0.25262802117720384	0.023426193654120308	0.38184630359581045	0.015371475750052871
STAG2	0.7463769445782755	0.9355861180396405	0.015796910686466843	0.6049062491684042	0.09061033678708597
TERTpromoter	0.9823751570508166	0.25262802117720384	0.02684319188650685	0.9823751570508166	0.9355861180396405
TP53	0.08416147972634522	0.9823751570508166	0.09061033678708597	0.9355861180396405	0.9823751570508166
total	0.336349391419187	0.9355861180396405	0.0033064513707121304	0.6049062491684042	0.7554146693972044
