	had_prior_chemotherapy	history_drinking	age_decades:history_smoking	bmi_scaled	is_male
ARID1A	1.0205851886244302	0.810070341088778	0.6213591787475562	1.376432944343196	0.6897454873481114
CDKN1A	1.5807120051499766	1.3318023737358038	1.0934173321454257	1.7686463553978384	0.9967721928260139
CREBBP	0.6913264249430503	0.8205048455075384	0.578547861154921	0.9950085303794827	0.9769667178728462
EP300	0.7620381160187651	0.9149623705510503	0.5666513636700659	0.9480131956858149	0.93252259162324
FOXQ1	1.659835550302045	1.6988986802779769	0.7494692171546256	1.9173042776576206	1.1738320046518904
KDM6A	2.5618267347934687	2.2441672846928973	1.9818130709428077	2.429014802324618	2.110819402238399
KMT2C	0.33351173711514237	0.40970901798820336	0.25818531316330856	0.40344965312561953	0.3672157931141071
KMT2D	1.4714832341352952	1.7077158959513263	1.0433610408799168	1.846563708679579	1.6246101442123173
NOTCH2	0.6131832301590272	0.669269925647666	0.45359726009660034	0.8953383308339775	0.7542798053071318
RB1	0.2093119033346012	0.29762418870396473	0.18093872691293947	0.31341754955161233	0.2906931291416371
RBM10	3.4424000450153986	2.3141618794086707	1.7716108636282741	4.541860491166667	1.694627107316935
STAG2	1.6331873760857583	1.7830346591239163	0.7557896178872661	1.8948692245415766	0.9713515248073599
TERTpromoter	26.68482265376903	53.95668819159281	-0.9514918142243683	27.472252483907795	30.669365830120206
TP53	1.0320673407939709	1.2755598004898017	0.7927414748861873	1.3133142585886914	1.2195570911030262
total	1.1140933420031873	1.1825889936830423	0.7656536463922865	1.363414880767507	1.1176802391141425
