	had_prior_chemotherapy	history_drinking	age_decades:history_smoking	bmi_scaled	is_male
ARID1A	-0.13074619188268233	-0.07444135505037952	0.03442256340362507	-2.0354202973104276	0.17704472970442686
CDKN1A	-0.4313125313522159	-0.3683508762274664	0.010803206647747643	-2.021743135575604	0.38094498799627596
CREBBP	0.2708872833911884	-0.2899341916737826	0.01809305256843248	-1.2443802456474207	-0.5557452347257107
EP300	0.2031468425313956	-0.3841431197712662	0.03214539117119001	-0.9418379198822638	-0.39998321662296954
FOXQ1	-0.9279129689950325	-1.0071583863469802	0.08187397004777416	-2.691615551479721	-0.0389263349943908
KDM6A	-1.5098284421623922	-0.9427617488097747	-0.03981385139728452	-2.221428767825709	-0.4484068976962734
KMT2C	0.10008490851940943	-0.18902282746055343	0.009902365709783426	-0.39137094085524277	-0.11404677414931964
KMT2D	-0.4172932579360953	-0.8923631376633735	0.049427653544574957	-2.226668157521317	-0.7180460579275256
NOTCH2	0.19344409196390216	-0.1775732024906861	0.026098001947035203	-1.1081883713461318	-0.31061740654388365
RB1	0.12240292518488069	-0.1460643705642555	0.006839371385131632	-0.3909859361010367	-0.14721120764825338
RBM10	-1.9917402668299549	-0.311591788536818	0.13045899980318448	-7.466334528045419	1.1413024756649917
STAG2	-1.3340896624649579	-1.2429011655164723	0.06690613099565759	-2.9744308495531944	0.10675602210870294
TERTpromoter	-35.2898190025625	-72.17862569791401	2.0234742850896197	-75.503333274915	-38.8402289365153
TP53	0.10379499559407857	-0.7555531681982524	0.01170876113631733	-1.7001065998661362	-0.6282230030964415
total	-0.1024649074258751	-0.39343755924069407	0.05545044866290479	-1.3571013766562117	-0.2516825349270776
