	had_prior_chemotherapy	is_male	age_decades:history_smoking	bmi_scaled
ARID1A	0.4865325567825055	0.08939773191736858	0.049350147477867354	0.2749419682812662
CDKN1A	0.47597330939436033	0.34336500041318774	0.0671118566527258	0.625806285428691
CREBBP	0.4183192761192366	0.09923149921997464	0.04465254745269327	0.25755478416501293
EP300	0.3585414912071811	0.17688777921834917	0.034905443474327724	0.19775667694879606
KDM6A	0.2439109252404267	0.13772811516670036	0.03193495424427898	0.16138164391627394
KMT2C	0.2730198832648	0.05334545672346543	0.028820965336454778	0.07222404536017844
KMT2D	0.45477313137063513	0.0780495853463586	0.05845408626040008	0.3132814346024057
NOTCH2	0.3737382850200446	0.10522526466611043	0.039999837830685565	0.2626264021880584
RBM10	0.5697829303693557	0.06202820814043025	0.06801796284934425	0.510167706694445
STAG2	0.2749833373363368	-0.012145848010554378	0.057296889735709816	0.21064811855176796
TP53	0.47926063032236593	0.15288895834169997	0.03745141423342624	0.4321938379577057
total	0.36658516778661066	0.06866873644396473	0.04096592956849281	0.2210137729180266
