	had_prior_chemotherapy	bmi_scaled	is_male	age_decades:history_smoking
ARID1A		0.486860943043439	0.486860943043439	0.486860943043439
CDKN1A		0.8010690642945568	0.8010690642945568	0.8010690642945568
CREBBP	0.686448036423087	0.686448036423087	0.686448036423087	0.686448036423087
EP300	0.5228697908693699	0.5228697908693699	0.5228697908693699	0.5228697908693699
FOXQ1		0.6545112240656892	0.6545112240656892	0.6545112240656892
KMT2C	0.1654446072060649	0.1654446072060649	0.1654446072060649	0.1654446072060649
KMT2D		1.432553085979281	1.432553085979281	1.432553085979281
NOTCH2	0.5672304871347882	0.5672304871347882	0.5672304871347882	0.5672304871347882
RB1	0.1735056015879528	0.1735056015879528	0.1735056015879528	0.1735056015879528
RBM10		1.6502606091453214	1.6502606091453214	1.6502606091453214
STAG2		0.7237749404049425	0.7237749404049425	0.7237749404049425
TERTpromoter		4.0295115235628955	4.0295115235628955	4.0295115235628955
TP53	0.7615390806723682	0.7615390806723682	0.7615390806723682	0.7615390806723682
total		0.8957288714933012	0.8957288714933012	0.8957288714933012
