	is_male	had_prior_chemotherapy	history_smoking	bmi_scaled	age_decades
ARID1A	0.73196606032645	5.3420733601911735e-05	0.3541533101301727	1	0.023361645879159627
CDKN1A	0.6228840067315846	0.24018776141628886	0.42796925626751237	0.7601843936219022	0.3959390495324521
CREBBP	0.969298131285131	2.1527655002372215e-05	0.2203007880776019	0.9182319629822528	0.023361645879159627
EP300	0.3959390495324521	0.00035882378960865177	0.4283743415911269	1	0.023361645879159627
FOXQ1	0.8033509330868267		0.9182319629822528	0.7759600719224472	4.806703774983364e-05
KDM6A	0.3326018731389943	0.0030923147411612553	0.5595202802761271	1	1.4066987194800434e-05
KMT2C	0.8033509330868267	0.00034954963408448294	0.4907611958933472	0.5565349114498824	0.00018299952280288013
KMT2D	0.7261728965533909	0.000504285998998686	0.2576582649782607	1	0.0021918165857885688
NOTCH2	1	9.500608867441729e-05	0.5565349114498824	0.9832357031077248	0.020684502869419665
RB1	1	0.00038074072740465167	0.6970862548322555	0.969298131285131	0.06311930777764875
RBM10	0.44134202375964293	0.002165520458658358	0.5234774504635057	0.6970862548322555	0.0012805963564201197
STAG2	0.2151914404665616	0.2448798432509244	0.44134202375964293	0.9182319629822528	1.4066987194800434e-05
TERTpromoter	0.9832357031077248		0.8912751557111303	0.8967147284290151	0.15825647875206633
TP53	0.8883529425883213	1.4066987194800434e-05	0.5335565360538764	0.3604050602072595	0.144296962954684
total	0.9828147385143063	2.1305480340981315e-05	0.2448798432509244	0.8873110165865151	0.00018299952280288013
