	had_prior_chemotherapy	history_drinking	history_smoking	bmi_scaled	is_male	age_decades
ARID1A	0.25264025722170336	0.19809748237646757	0.23509991045415665	0.5777860891961741	0.040554132812547425	1.2983808245530342e-19
CDKN1A	0.5777860891961741	0.5061020637961834	0.29534066771900236	0.898162673318055	0.009662070471461805	5.014160587790754e-23
CREBBP	0.004594529888795425	0.6754099564052591	0.19809748237646757	0.6342895338008088	0.6226478889075878	7.770973261265484e-26
EP300	0.011169283176490383	0.898162673318055	0.10775741501343973	0.961561276129228	0.9823751570508166	5.526754140885623e-32
FOXQ1	0.9816067053127526	0.9574968389140728	0.08483477156415599	0.7051056333520205	0.16690953860301413	6.3161675424460995e-19
KDM6A	0.7132685792753225	0.898162673318055	0.5789786525078757	0.9823751570508166	0.5044916759608041	1.6181028525247838e-26
KMT2C	0.009567939993637807	0.9574968389140728	0.19809748237646757	0.9823751570508166	0.698808969870525	1.3423658214382768e-27
KMT2D	0.6754099564052591	0.8114297566773471	0.3117580337129544	0.41858501689527533	0.898162673318055	8.042377620789736e-44
NOTCH2	0.006122132214351272	0.5485418951004599	0.13209993557441158	0.3851843841601769	0.9823751570508166	3.931206837374755e-32
RB1	0.0004959677056068195	0.9823751570508166	0.11456612784005506	0.6921338182187956	0.9307840946701718	8.851096056027121e-23
RBM10	0.961561276129228	0.21764875670651407	0.21427642438631347	0.32584217906842494	0.006122132214351272	9.858517763014768e-20
STAG2	0.6754099564052591	0.898162673318055	0.10960219740893544	0.5304562492707545	0.08987119316086296	3.3526858070346766e-17
TERTpromoter	0.9823751570508166	0.21764875670651407	0.13697068373929674	0.9823751570508166	0.898162673318055	0.00025235222214586335
TP53	0.08483477156415599	0.9823751570508166	0.3915723508519636	0.898162673318055	0.9823751570508166	1.2749064777278515e-21
total	0.28829947835930314	0.898162673318055	0.08987119316086296	0.5304562492707545	0.6871836670000376	2.0430901171683884e-70
