	is_male	had_prior_chemotherapy	history_smoking	bmi_scaled	age_decades	history_drinking
ARID1A	1.1339357799062804		0.7722485320321173	1.3023477120601525	0.27651006502106545	1.0360901663417512
CDKN1A	1.5267322553935272		0.759817803593749	1.2530130801061081	0.3056429571657885	
CREBBP	0.04789217451416555	0.8796466412211574	0.6817813765421311	0.5646271493795809	0.1903495882217508	
EP300	0.1463349467062463	0.7985086723515549	0.6625022432121626	0.6785870450289465	0.1837014285125884	
FOXQ1	1.28126791463291		1.4970596006935866	1.1307412622433428	0.3572878219589796	
KDM6A	1.4820941239060375		1.1468374431205441	2.824506686663524	0.504080537557992	
KMT2C	0.18059280039571615	0.39715480578240125	0.24871663500129332	0.3558035113307101	0.07553548324005717	
KMT2D	0.16373653211687328		0.7677335853907312	0.6427202508678791	0.39603052200428623	
NOTCH2	0.1368391136769326	0.6860407467470468	0.5222393503369985	0.26273096068998136	0.15562918601661338	
RB1	0.06344697529482596	0.32465616962855565	0.2320829933338182	0.2203549742696766	0.051687706888803656	
RBM10	3.8950549576859075		1.8325467314247992	0.6813591215304848	0.8447559641697955	
STAG2	1.435581910933937		1.3593681700565348	0.8831001430724584	0.3459700240216038	
TERTpromoter	8.58709004486775		68.40777518887185	51.54492508992593	10.47879895751598	
TP53	0.40705296825978843	1.165481603588697	0.8018074510202359	0.9094121051234423	0.31960577714437427	
total	0.256075166596747		0.5682651661082574	0.4635920110719485	0.2549157827278915	
