	is_male	had_prior_chemotherapy	history_smoking	bmi_scaled	age_decades	history_drinking
ARID1A_missense	0.07235016049016828		0.7507269973533833	0.341289984711568	1.2230396207844092e-05	
ARID1A_truncating	0.0010702312160964659		0.5477083033716823	1	0.30218450842315026	
CDKN1A_missense	0.22075869363410758		1	0.7065644194842489	0.12678801944375348	
CDKN1A_truncating	0.004280641192228117		0.07020957470707637	0.020321764633439966	0.3708500350143885	
CREBBP_missense	0.26045669945098965		0.5430854955142732	0.3406835281035287	0.00048061206205372224	
CREBBP_truncating	0.31504155385420973		1	1	0.03747657900578305	
EP300_missense	0.5380860300141077		0.3498796074720243	0.06104592379876492	0.06835188677362147	
EP300_truncating	0.5776704680541122		1	0.3498796074720243	0.015490273792784389	
FOXQ1_missense	1	0.032695946873940084	0.8184187747438302	1	0.0023399553952546887	
KDM6A_missense	0.11789341312582291	0.08934926788310046	1	0.20532377894382678	0.0003528848910077841	
KDM6A_truncating	0.31234556106519523	0.005418422171426798	0.515400989992471	0.050148942599752014	0.002826273237080683	
KMT2C_missense	1		0.6875216861631407	0.006632992667315461	0.0036056674595473415	
KMT2C_truncating	0.26045669945098965	0.3622699051686541	1	0.8061452657253242	0.002342134678059782	
KMT2D_missense	1		1	0.44479356215895766	1.6319113712324134e-08	
KMT2D_truncating	0.3131954521955535	0.014356927774171805	1	1	1.2788025554970912e-06	
NOTCH2_missense	0.6648018515138405		0.4397594400336367	0.5991596241860683	0.0036056674595473415	
NOTCH2_truncating	0.5685138972422032		0.8335292836432824	0.8168938631914721	0.03430251981522575	
RB1_missense	0.4495854281697118		1	0.44480863983294006	0.008466508360745296	
RBM10_missense	0.4005514480320145		0.17222832200219165	0.07629842740465169	0.00015950576870152282	0.17032103597587095
RBM10_truncating	0.009341218568607547	0.02532087196110031	1	0.4059961912450274	0.0014731503106923075	
STAG2_missense	0.57228670180582	0.2677485675180834	1	0.3498796074720243	0.02532087196110031	
STAG2_truncating	0.3058994450090328	0.06954298503964994	0.341289984711568	1	0.4005514480320145	
TP53_missense	0.5366142694533951		1	1	0.0014731503106923075	
total_truncating	0.07235016049016828	0.0030619084263465383	0.7574997342503367	0.5544253532795586	2.3858355289481177e-06	
total_missense	0.341289984711568		0.33913692261159367	1	0.13298596070617358	
