	had_prior_chemotherapy	history_drinking	age_decades:history_smoking	bmi_scaled	is_male
ARID1A	0.23510793652142875	-0.13579619999143816	0.0061253876604056776	-0.4857021703825392	-0.16600183118625048
CDKN1A	0.01553318193172612	-0.3076372009213666	-0.0014592723126545804	-0.5233526832621327	-0.1096846900670424
CREBBP	0.19916804614860587	-0.14307261501883406	0.01072750695176317	-0.3871024905012954	-0.10084457249856754
EP300	0.14423699033028523	-0.17946714467851665	0.005477220785115169	-0.4014533369542968	-0.038185313495276055
FOXQ1	-0.10654555518364503	-0.14926314902116078	-0.012473258068839373	-0.9006974127055684	-0.21328216614440043
KDM6A	0.07598494022092603	-0.11429657508155379	0.010137919695330783	-0.31964902247150356	-0.00920996022906452
KMT2C	0.11565200297215093	-0.09932848459303698	0.0025120138275903352	-0.3664143381302215	-0.09619723383857065
KMT2D	0.19691043025467758	-0.2501332477858713	0.011807099626183808	-0.48896804488013335	-0.17019963785268313
NOTCH2	0.17679950760698904	-0.14372911742002262	0.00787300909589472	-0.3539517078778949	-0.09707383285557675
RB1	0.13625039204397854	-0.1761404567956087	-0.0024475038384586534	-0.3361903755136692	-0.10487562807587537
RBM10	0.21209485639401046	-0.2123741182987746	0.001123604576273314	-0.4750368419858	-0.2827370695855422
STAG2	0.02760199828115459	-0.12261140635376583	0.00541276076900454	-0.4814658115629457	-0.22714969205226143
TERTpromoter	-0.231338593862639	-0.42860866985488877	-0.03213781311160219	-1.174542900116421	-0.47927330185076855
TP53	0.22210034350035623	-0.15708003875624388	0.001115444506795689	-0.28704218527478575	-0.12250225947330423
total	0.1837431693609633	-0.15788161206520276	0.008888822301451091	-0.3636419523850121	-0.11451022957033118
