	had_prior_chemotherapy	is_male	age_decades:history_smoking	bmi_scaled
ARID1A	0.18885569451772655	-0.2059185598165413	0.0037403412858989203	-0.3348840053744287
CDKN1A	-0.04484081383341479	-0.17426490462848676	-0.01241253899168145	-0.4288490813482866
CREBBP	0.17148951478261465	-0.14527382743574238	0.006873924021736689	-0.24773573144140745
EP300	0.11945581438831138	-0.059494844684366215	-0.0017323412951094387	-0.29371845589363427
KDM6A	0.056576724664560235	-0.04796982891008316	0.00322695216928366	-0.22247853958462308
KMT2C	0.088946626922118	-0.1294054488493288	0.000635660795407637	-0.30437443662182356
KMT2D	0.14436250954799992	-0.22845889872131148	0.01081888759791964	-0.3275801920269206
NOTCH2	0.1415020333903559	-0.12427074830796558	0.004394215040975133	-0.2155464500443021
RBM10	0.1508504248784662	-0.3534172911914545	0.0038379881712253816	-0.3480897834718406
STAG2	-0.03004100623438631	-0.314326540851517	0.010565212140333135	-0.41478982496109434
TP53	0.20689852011311555	-0.11734293151108705	-0.004247075764402589	-0.12498400184442537
total	0.15014423614829875	-0.14496013186936157	0.007743225033122827	-0.2262865007845276
