	had_prior_chemotherapy	history_drinking	age_decades:history_smoking	bmi_scaled	is_male
ARID1A	5.028658202340971e-06	0.8638067197541157	0.057100087018308175	0.8638067197541157	0.9999365030331339
CDKN1A	0.12700653556897623	0.9621497863205635	0.1814851641672542	0.9999365030331339	0.6419422375028465
CREBBP	5.028658202340971e-06	0.9540171598255806	0.01568680463346992	0.9097930193519211	0.8638067197541157
EP300	0.00010089324737869465	0.9444819579266354	0.04966459757362243	0.7916228853272319	0.44216731326209624
FOXQ1	0.4592131439924114	0.5767336003967479	0.41656228827758435	0.8503941671473231	0.8638067197541157
KDM6A	0.003023195407837467	0.9999365030331339	0.0039384089713410024	0.7120838875695681	0.2213994990313156
KMT2C	8.223382425244486e-05	0.9540171598255806	0.07721706238787732	0.44216731326209624	0.9999365030331339
KMT2D	8.223382425244486e-05	0.8925517600109277	0.017991889861757038	0.8638067197541157	0.9999365030331339
NOTCH2	8.427884054845589e-06	0.9968513497856643	0.02492930536019061	0.9114576676518866	0.8925517600109277
RB1	6.216730482542887e-05	0.8638067197541157	0.25620070389220384	0.8638067197541157	0.9968513497856643
RBM10	0.0004169805842963826	0.9540171598255806	0.13287122393341724	0.9999365030331339	0.8638067197541157
STAG2	0.07721706238787732	0.8638067197541157	0.057100087018308175	0.7120838875695681	0.5777603505289367
TERTpromoter	0.5151260818797094	0.8638067197541157	0.5151260818797094	0.9999365030331339	0.9621497863205635
TP53	4.871640038063328e-06	0.9540171598255806	0.12991599380033067	0.9540171598255806	0.9444819579266354
total	4.871640038063328e-06	0.9999365030331339	0.017991889861757038	0.8638067197541157	0.9967937631257571
