	had_prior_chemotherapy	bmi_scaled	is_male	age_decades:history_smoking
ARID1A		0.8311250872836179	0.1400673752118695	0.1395424781315574
CDKN1A		0.9737015539613354	0.08320491923814234	0.32724151568142923
CREBBP	0.026882779833460223	0.7589641887750151	0.1014595332479245	0.015045344690002906
EP300	0.043965339176735584	0.8767998137656701	0.3152427950661748	0.005206943358426763
FOXQ1		0.9734590292342995	0.5988149444102496	0.027127191150102703
KMT2C	0.026882779833460223	0.7219538283812813	0.9737015539613354	0.03702888919751978
KMT2D		0.5768576146145352	0.16535114426620948	0.004703547895356715
NOTCH2	0.02486891856209806	0.4199047876907499	0.2869742483134583	0.007448416878226702
RB1	0.0068957393148367345	0.9734590292342995	0.406612036700979	0.03702888919751978
RBM10		0.5379195843722617	0.0692537707894556	0.1395424781315574
STAG2		0.7589641887750151	0.37505265220775913	0.06161117567682449
TERTpromoter		0.7918460689434342	0.20022394337081484	0.006515066047157664
TP53	0.16184511113287448	0.9734590292342995	0.6355930600134014	0.06433434277499708
total		0.7589641887750151	0.5768576146145352	0.0008576913231702133
